PLACE,Year,Season,Crop,Area,Production
MYSORE,2013,Kharif     ,Potato,119,783
MYSORE,2013,Kharif     ,Ragi,27007,46875
MYSORE,2013,Kharif     ,Rice,91737,311039
MYSORE,2013,Kharif     ,Sesamum,5907,3457
MYSORE,2013,Kharif     ,Small millets,3,1
MYSORE,2013,Kharif     ,Sunflower,1016,647
MYSORE,2013,Kharif     ,Urad,7969,3225
MYSORE,2013,Rabi       ,Cowpea(Lobia),5729,2259
MYSORE,2013,Rabi       ,Dry chillies,221,419
MYSORE,2013,Rabi       ,Gram,786,421
MYSORE,2013,Rabi       ,Horse-gram,27203,12430
MYSORE,2013,Rabi       ,Jowar,390,231
MYSORE,2013,Rabi       ,Maize,4167,12874
MYSORE,2013,Rabi       ,Moong(Green Gram),53,13
MYSORE,2013,Rabi       ,Other  Rabi pulses,3953,3151
MYSORE,2013,Rabi       ,Ragi,9290,13609
MYSORE,2013,Rabi       ,Rice,50,125
MYSORE,2013,Rabi       ,Urad,107,61
MYSORE,2013,Summer     ,Cotton(lint),10,36
MYSORE,2013,Summer     ,Cowpea(Lobia),160,63
MYSORE,2013,Summer     ,Dry chillies,309,821
MYSORE,2013,Summer     ,Groundnut,49,44
MYSORE,2013,Summer     ,Jowar,1,2
MYSORE,2013,Summer     ,Maize,880,2855
MYSORE,2013,Summer     ,Onion,2,16
MYSORE,2013,Summer     ,Ragi,540,1030
MYSORE,2013,Summer     ,Rice,10661,39236
MYSORE,2013,Whole Year ,Arecanut,1617,18011
MYSORE,2013,Whole Year ,Black pepper,21,52
MYSORE,2013,Whole Year ,Cashewnut,127,113
MYSORE,2013,Whole Year ,Coconut ,22417,177853
MYSORE,2013,Whole Year ,Coriander,51,16
MYSORE,2013,Whole Year ,Dry ginger,2567,82771
MYSORE,2013,Whole Year ,Sugarcane,7995,683572
MYSORE,2013,Whole Year ,Sweet potato,2,29
MYSORE,2013,Whole Year ,Tapioca,2,17
MYSORE,2013,Whole Year ,Tobacco,84544,61282
MYSORE,2013,Whole Year ,Turmeric,3340,21870
MYSORE,2014,Kharif     ,Arhar/Tur,2697,1617
MYSORE,2014,Kharif     ,Castor seed,1125,679
MYSORE,2014,Kharif     ,Cotton(lint),48174,85874
MYSORE,2014,Kharif     ,Cowpea(Lobia),22587,8948
MYSORE,2014,Kharif     ,Dry chillies,1061,1200
MYSORE,2014,Kharif     ,Groundnut,2567,1853
MYSORE,2014,Kharif     ,Jowar,5459,8038
MYSORE,2014,Kharif     ,Maize,30195,101259
MYSORE,2014,Kharif     ,Moong(Green Gram),7912,2247
MYSORE,2014,Kharif     ,Niger seed,1864,493
MYSORE,2014,Kharif     ,Other Kharif pulses,11389,6091
MYSORE,2014,Kharif     ,Potato,200,1231
MYSORE,2014,Kharif     ,Ragi,26942,60430
MYSORE,2014,Kharif     ,Rice,94359,319929
MYSORE,2014,Kharif     ,Sesamum,4460,2669
MYSORE,2014,Kharif     ,Sunflower,696,827
MYSORE,2014,Kharif     ,Urad,10082,3007
MYSORE,2014,Rabi       ,Cowpea(Lobia),4096,1331
MYSORE,2014,Rabi       ,Dry chillies,286,537
MYSORE,2014,Rabi       ,Gram,2240,1551
MYSORE,2014,Rabi       ,Horse-gram,34171,14965
MYSORE,2014,Rabi       ,Jowar,308,157
MYSORE,2014,Rabi       ,Linseed,11,3
MYSORE,2014,Rabi       ,Maize,6266,22704
MYSORE,2014,Rabi       ,Moong(Green Gram),77,25
MYSORE,2014,Rabi       ,Onion,5,33
MYSORE,2014,Rabi       ,Other  Rabi pulses,3614,2764
MYSORE,2014,Rabi       ,Potato,31,478
MYSORE,2014,Rabi       ,Ragi,12834,22361
MYSORE,2014,Rabi       ,Urad,707,322
MYSORE,2014,Summer     ,Cowpea(Lobia),211,77
MYSORE,2014,Summer     ,Dry chillies,270,520
MYSORE,2014,Summer     ,Maize,238,776
MYSORE,2014,Summer     ,Potato,1,14
MYSORE,2014,Summer     ,Ragi,356,676
MYSORE,2014,Summer     ,Rice,8864,30349
MYSORE,2014,Whole Year ,Arecanut,1786,16525
MYSORE,2014,Whole Year ,Black pepper,52,305
MYSORE,2014,Whole Year ,Cashewnut,39,29
MYSORE,2014,Whole Year ,Coconut ,22352,197674
MYSORE,2014,Whole Year ,Coriander,9,3
MYSORE,2014,Whole Year ,Dry ginger,3468,110622
MYSORE,2014,Whole Year ,Garlic,101,111
MYSORE,2014,Whole Year ,Mesta,48,54
MYSORE,2014,Whole Year ,Sugarcane,4104,374285
MYSORE,2014,Whole Year ,Sweet potato,28,475
MYSORE,2014,Whole Year ,Tapioca,3,27
MYSORE,2014,Whole Year ,Tobacco,72647,44721
MYSORE,2014,Whole Year ,Turmeric,3382,23234
